,t_ch,t_dev,l_core_and_top,l_core_and_occ,l_peripheral_and_top,l_peripheral_and_occ,r_core_and_top,r_core_and_occ,r_peripheral_and_top,r_peripheral_and_occ,has_conflict
351,12,6,0,0,1,0,0,0,1,4,1
352,19,3,0,0,1,1,0,0,1,0,0
353,58,7,1,3,0,2,0,0,1,0,0
354,6,1,1,0,0,0,0,0,0,0,0
355,1,1,1,0,0,0,0,0,0,0,0
356,21,1,0,0,1,0,0,0,0,0,0
357,2,1,0,0,1,0,0,0,0,0,0
358,2,1,0,0,1,0,0,0,0,0,0
359,3,3,1,0,0,1,0,0,1,0,0
360,6,1,0,0,0,0,0,0,1,0,0
361,10,2,0,0,1,0,0,0,1,0,0
362,1,1,0,0,1,0,0,0,0,0,0
363,212,6,0,0,1,0,1,1,0,3,0
364,3,1,1,0,0,0,0,0,0,0,0
365,1,1,0,0,1,0,0,0,0,0,0
366,18,2,1,1,0,0,0,0,0,0,0
367,7,3,0,0,2,2,0,0,2,0,0
368,15,4,1,0,0,1,0,0,1,1,0
369,5,1,0,0,0,0,0,0,1,0,0
370,1,1,1,0,0,0,0,0,0,0,0
371,114,1,1,0,0,0,0,0,0,0,0
372,41,3,0,0,2,0,0,0,2,2,0
373,3,1,1,0,0,0,0,0,0,0,0
374,1,1,0,0,1,0,0,0,0,0,0
375,9,1,1,0,0,0,0,0,0,0,0
376,340,10,0,1,1,7,0,0,1,0,0
377,5,5,0,0,0,0,1,2,0,2,0
378,6,2,0,0,1,0,1,0,0,0,0
379,7,6,0,3,1,1,0,0,1,0,0
380,1087,2,1,1,0,0,0,0,0,0,0
381,1,1,0,0,0,0,1,0,0,0,0
382,96,9,1,0,0,8,0,0,1,0,0
383,1,1,1,0,0,0,0,0,0,0,0
384,1,1,0,0,1,0,0,0,0,0,0
385,1,1,0,0,1,0,0,0,0,0,0
386,6,3,1,0,0,1,0,0,1,0,0
387,10,2,1,0,0,0,0,0,1,0,0
388,271,2,0,0,1,1,0,0,1,0,0
389,33,2,0,0,2,0,0,0,2,0,0
390,23,1,1,0,0,0,0,0,0,0,0
391,2,2,0,0,1,0,0,0,1,0,0
392,5,1,0,0,1,0,0,0,0,0,0
393,227,10,1,3,0,6,0,0,0,0,0
394,25,2,1,0,0,0,0,0,1,0,0
395,1,1,1,0,0,0,0,0,0,0,0
396,34,1,1,0,0,0,0,0,0,0,0
397,33,6,1,1,0,3,0,0,1,0,0
398,3,2,0,0,2,0,0,0,2,0,0
399,1,1,0,0,1,0,0,0,0,0,0
400,10,1,0,0,0,0,0,0,1,0,0
401,6,2,1,0,0,0,0,0,1,0,0
402,4,1,0,0,1,0,0,0,1,0,0
403,5,2,0,0,1,0,0,0,1,0,0
404,1,1,0,0,0,0,1,0,0,0,0
405,26,2,0,0,1,0,0,0,1,0,0
406,2,1,0,0,1,0,0,0,0,0,0
407,2,2,1,0,0,0,0,0,1,0,0
408,1,1,0,0,1,0,0,0,0,0,0
409,2,2,0,0,1,0,0,0,1,0,0
410,18,2,1,0,0,0,0,0,1,0,0
411,10,2,1,0,0,0,1,0,0,0,0
412,1433,3,1,0,0,2,0,0,1,0,1
413,11,7,1,0,0,5,0,0,1,0,0
414,171,3,0,0,1,1,0,0,1,0,0
415,2,1,0,0,0,0,1,0,0,0,0
416,5,1,0,0,1,0,0,0,0,0,0
417,12,2,0,0,1,0,1,0,0,0,1
418,1,1,0,0,0,0,0,0,1,0,0
419,1,1,0,0,1,0,0,0,0,0,0
420,5,1,0,0,0,0,0,0,2,0,0
421,1151,8,0,0,0,0,1,1,0,6,0
422,74,7,1,0,0,6,0,0,0,0,0
423,1,1,0,0,0,0,0,0,1,0,0
424,63,3,1,0,0,0,0,0,1,1,0
425,961,1,0,0,1,0,0,0,1,0,0
426,2,2,0,0,1,1,0,0,0,0,0
427,12,2,1,0,0,0,1,0,0,0,0
428,52,1,0,0,2,0,0,0,0,0,0
429,14,8,1,0,0,7,0,0,0,0,0
430,7,2,0,0,0,0,1,1,0,0,0
431,45,1,0,0,1,0,0,0,0,0,0
432,1,1,0,0,0,0,1,0,0,0,0
433,6,1,0,0,0,0,1,0,0,0,0
434,3,1,0,0,1,0,0,0,1,0,0
435,39,35,0,0,1,0,0,2,1,31,1
436,2,1,1,0,0,0,1,0,0,0,1
437,5,2,0,0,2,0,0,0,2,0,0
438,1,1,0,0,1,0,0,0,0,0,0
439,1,1,0,0,1,0,0,0,0,0,0
440,1,1,1,0,0,0,0,0,0,0,0
441,71,3,0,0,0,0,1,0,0,2,0
442,1,1,0,0,1,0,0,0,0,0,0
443,4,2,1,0,0,0,1,0,0,0,0
444,1,1,0,0,1,0,0,0,0,0,0
445,29,9,1,1,0,7,1,0,0,0,0
446,3,1,0,0,1,0,0,0,0,0,0
447,5,2,0,0,1,0,1,0,0,0,0
448,4,3,0,0,1,1,0,0,1,0,0
449,33,1,1,0,0,0,1,0,0,0,0
450,39,4,0,1,1,1,0,0,1,0,0
451,2,2,1,0,0,0,0,0,1,0,0
452,1,1,0,0,0,0,1,0,0,0,0
453,27,1,0,0,1,0,0,0,0,0,0
454,81,2,1,0,0,0,1,0,0,0,0
455,21,2,1,0,0,0,1,1,0,0,0
456,2,1,0,0,1,0,0,0,0,0,0
457,160,7,1,2,0,4,0,0,0,0,0
458,2,1,0,0,1,0,0,0,0,0,0
459,40,1,0,0,0,0,1,0,0,0,0
460,20,7,0,0,1,5,0,0,1,0,0
461,212,3,1,0,0,0,1,1,0,1,0
462,16,1,0,0,1,0,0,0,0,0,0
463,20,1,1,0,0,0,1,0,0,0,0
464,1,1,0,0,1,0,0,0,0,0,0
465,22,9,0,0,0,0,0,2,1,6,0
466,4080,15,1,0,0,14,0,0,1,0,0
467,1,1,0,0,0,0,0,0,1,0,0
468,9,1,1,0,0,0,0,0,0,0,0
469,1,1,0,0,1,0,0,0,0,0,0
470,9,1,0,0,1,0,0,0,0,0,0
471,260,6,0,0,1,0,1,0,0,5,1
472,1818,26,0,0,0,0,0,4,1,21,0
473,148,1,1,0,0,0,0,0,0,0,0
474,1,1,1,0,0,0,0,0,0,0,0
475,63,8,1,0,0,6,0,0,1,0,0
476,1,1,0,0,0,0,1,0,0,0,0
477,17,2,1,0,0,0,0,0,1,0,0
478,5,2,1,0,0,1,0,0,0,0,0
479,109,2,1,0,0,1,0,0,0,0,0
480,13,1,1,0,0,0,0,0,0,0,0
481,7,2,1,0,0,1,0,0,0,0,0
482,14,3,0,1,1,0,0,0,1,0,0
483,580,3,1,1,0,0,0,0,1,0,1
484,1,1,0,0,1,0,0,0,0,0,0
485,15,6,0,0,2,10,0,0,2,0,0
486,5,4,1,1,0,0,0,0,1,1,0
487,1,1,0,0,1,0,0,0,0,0,0
488,2258,52,0,0,1,0,0,5,1,46,1
489,62,1,1,0,0,0,0,0,0,0,0
490,66,12,0,0,0,0,1,5,0,6,0
491,4,1,0,0,0,0,0,0,1,0,0
492,12,3,0,1,1,0,0,0,1,0,0
493,1,1,0,0,0,0,0,0,2,0,0
494,85,12,0,3,1,7,0,0,1,0,0
495,4,1,0,0,1,0,0,0,0,0,0
496,14,4,1,0,0,2,0,0,1,0,0
497,111,46,0,1,1,43,0,0,1,0,0
498,1,1,0,0,1,0,0,0,0,0,0
499,471,7,1,1,0,5,1,0,0,0,1
500,14,2,0,0,1,0,1,0,0,0,0
501,953,2,1,0,0,0,1,0,0,0,0
502,39,3,1,1,0,0,0,0,1,0,0
503,4,1,1,0,0,0,0,0,0,0,0
504,4,1,1,0,0,0,0,0,0,0,0
505,248,8,0,0,0,0,1,2,0,5,0
506,6,2,0,0,1,0,0,0,1,0,0
507,1,1,1,0,0,0,0,0,0,0,0
508,822,2,0,0,1,0,0,0,1,0,0
509,3,1,0,0,0,0,0,0,1,0,0
510,3,1,1,0,0,0,0,0,0,0,0
511,5,1,0,0,1,0,0,0,0,0,0
512,1,1,0,0,0,0,1,0,0,0,0
513,180,1,0,0,0,0,1,0,0,0,0
514,6,1,0,0,0,0,1,0,0,0,0
515,1,1,0,0,1,0,0,0,0,0,0
516,11,4,1,0,0,3,0,0,1,0,0
517,590,2,1,0,0,0,1,0,0,0,0
518,9,2,1,0,0,0,0,0,1,0,0
519,12,8,1,3,0,3,1,0,0,0,0
520,3,2,1,0,0,0,1,0,0,0,0
521,44,2,1,0,0,1,1,0,0,0,0
522,1,1,0,0,0,0,0,0,1,0,0
523,7,1,1,0,0,0,0,0,0,0,0
524,3,1,1,0,0,0,0,0,0,0,0
525,3,1,1,0,0,0,0,0,0,0,0
526,4,3,0,2,1,0,0,0,0,0,0
527,7,7,0,0,1,1,0,1,1,3,1
528,3,1,0,0,0,0,1,0,0,0,0
529,28,2,0,0,1,0,0,0,1,0,0
530,37,8,1,0,0,0,0,0,1,6,1
531,29,3,0,0,0,0,1,2,0,0,0
532,51,3,0,0,1,0,0,1,1,0,0
533,51,1,1,0,0,0,0,0,0,0,0
534,1,1,0,0,1,0,0,0,0,0,0
535,9,3,1,0,0,1,0,0,1,0,0
536,3,1,0,0,1,0,0,0,0,0,0
537,1769,19,0,0,1,0,1,5,0,12,1
538,1,1,0,0,1,0,0,0,0,0,0
539,9,1,1,0,0,0,0,0,0,0,0
540,1,1,1,0,0,0,0,0,0,0,0
541,19,3,1,1,0,1,1,0,0,0,0
542,3960,42,0,0,0,0,0,3,1,38,1
543,38,2,0,0,1,0,1,0,0,0,0
544,4,1,0,0,0,0,1,0,0,0,0
545,35,5,1,1,0,2,0,0,1,0,0
546,202,2,1,0,0,0,1,1,0,0,0
547,1,1,0,0,2,0,0,0,0,0,0
548,1,1,0,0,1,0,0,0,0,0,0
549,11,1,0,0,0,0,0,0,1,0,0
550,17,1,1,0,0,0,0,0,0,0,0
551,142,12,1,2,0,8,0,0,1,0,0
552,2,2,0,0,1,0,0,0,1,0,0
553,6,3,0,0,0,0,0,1,1,1,0
554,63,4,0,0,1,0,1,1,0,1,0
555,54,3,0,0,1,0,1,0,0,1,1
556,1487,13,0,0,0,0,1,3,0,9,0
557,1,1,0,0,1,0,0,0,0,0,0
558,2,2,0,0,1,0,0,0,1,0,0
559,15,6,0,1,1,4,0,0,0,0,0
560,182,1,1,0,0,0,0,0,0,0,0
561,2,2,0,0,0,0,0,0,1,1,0
