,t_ch,t_dev,l_core_and_top,l_core_and_occ,l_peripheral_and_top,l_peripheral_and_occ,r_core_and_top,r_core_and_occ,r_peripheral_and_top,r_peripheral_and_occ,has_conflict
517,2,1,1,0,0,0,0,0,0,0,0
518,8,1,1,0,0,0,0,0,0,0,0
519,2,1,0,0,0,0,0,0,1,0,0
520,54,4,0,1,1,1,0,0,1,0,0
521,4,1,0,0,1,0,0,0,0,0,0
522,148,2,0,0,1,0,1,0,0,0,0
523,12,1,0,0,2,0,0,0,0,0,0
524,68,13,0,0,0,0,1,3,0,9,0
525,4,2,1,0,0,0,1,0,0,0,0
526,8,2,1,0,0,0,1,0,0,0,0
527,3,1,0,0,2,0,0,0,0,0,0
528,138,13,0,1,1,10,0,0,1,0,0
529,226,18,0,0,0,0,1,3,0,14,0
530,59,12,1,0,0,10,0,0,1,0,0
531,3,2,0,0,1,0,0,0,1,0,0
532,276,16,0,1,1,13,0,0,1,0,0
533,1,1,1,0,0,0,0,0,0,0,0
534,1,1,0,0,1,0,0,0,0,0,0
535,1,1,0,0,1,0,0,0,0,0,0
536,7,1,1,0,0,0,0,0,0,0,0
537,1,1,0,0,1,0,0,0,0,0,0
538,95,5,1,1,0,3,0,0,0,0,0
539,1383,17,0,1,1,14,0,0,1,0,0
540,8,1,0,0,1,0,0,0,0,0,0
541,29,2,0,0,1,1,0,0,0,0,0
542,7,1,1,0,0,0,0,0,0,0,0
543,37,5,0,1,1,0,0,1,1,2,0
544,4,1,1,0,0,0,0,0,0,0,0
545,100,2,1,0,0,0,0,0,1,0,0
546,3,1,1,0,0,0,0,0,0,0,0
547,1,1,0,0,1,0,0,0,0,0,0
548,5,3,0,0,0,0,1,0,0,2,0
549,113,3,0,0,1,1,0,0,1,0,0
550,1,1,0,0,0,0,0,0,1,0,0
551,23,4,0,0,0,0,1,1,0,2,0
552,10,1,0,0,0,0,1,0,0,0,0
553,12,1,1,0,0,0,1,0,0,0,0
554,18,5,0,0,2,0,0,0,2,6,0
555,1,1,0,0,1,0,0,0,0,0,0
556,9,2,1,0,0,0,1,0,0,0,0
557,2,1,0,0,0,0,1,0,0,0,0
558,14,3,0,0,1,1,1,0,0,0,0
559,11,6,0,0,0,0,1,1,0,4,0
560,59,3,0,0,1,1,0,0,1,0,0
561,2,1,1,0,0,0,0,0,0,0,0
